isi,xPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,instr.started,instr.stopped,startMouse.started,startMouse.stopped,pos1.started,pos1.stopped,pos2.started,pos2.stopped,pos3.started,pos3.stopped,pos4.started,pos4.stopped,targImage.started,targImage.stopped,response.keys,response.corr,response.started,response.stopped,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,mouseResp.started,mouseResp.stopped,ready.started,ready.stopped,mouseGo.started,mouseGo.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2.7776,0.375,n,,,,,0,13,13,35,,,,,132.76406881498406,None,132.76406881498406,None,132.76406881498406,None,132.76406881498406,None,135.53060840198305,None,None,0,135.53060840198305,None,0.38285714285714284,0.05047619047619047,1,0,0,targImage,2.7876481867861003,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.5554,-0.125,v,,,,,0,14,14,29,,,,,136.18051649499102,None,136.18051649499102,None,136.18051649499102,None,136.18051649499102,None,138.73013878799975,None,None,0,138.73013878799975,None,-0.05238095238095238,-0.009523809523809525,1,0,0,targImage,2.5696533667796757,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.2222,0.375,n,,,,,0,15,15,7,,,,,139.1482472239877,None,139.1482472239877,None,139.1482472239877,None,139.1482472239877,None,140.34789899599855,None,None,0,140.34789899599855,None,0.29333333333333333,0.02761904761904762,1,0,0,targImage,1.2229899947706144,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.0,-0.375,c,,,,,0,16,16,0,,,,,141.13097674798337,None,141.13097674798337,None,141.13097674798337,None,141.13097674798337,None,142.11375398898963,None,None,0,142.11375398898963,None,-0.35714285714285715,-0.02666666666666667,1,0,0,targImage,1.0045214908313937,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.4444,0.125,b,,,,,0,17,17,10,,,,,142.84618452799623,None,142.84618452799623,None,142.84618452799623,None,142.84618452799623,None,144.2803390570043,None,None,0,144.2803390570043,None,0.08285714285714285,0.022857142857142857,1,0,0,targImage,1.4593275928054936,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.0,0.125,b,,,,,0,18,18,2,,,,,144.73064083099598,None,144.73064083099598,None,144.73064083099598,None,144.73064083099598,None,145.71361737998086,None,None,0,145.71361737998086,None,0.06666666666666667,0.0019047619047619048,1,0,0,targImage,1.0087330348032992,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.4444,0.375,n,,,,,0,19,19,11,,,,,146.14786024400382,None,146.14786024400382,None,146.14786024400382,None,146.14786024400382,None,147.58092130799196,None,None,0,147.58092130799196,None,0.31523809523809526,0.02,1,0,0,targImage,1.4558559857832734,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.8888,0.375,n,,,,,0,20,20,19,,,,,148.31374733199482,None,148.31374733199482,None,148.31374733199482,None,148.31374733199482,None,150.19665801798692,None,None,0,150.19665801798692,None,0.319047619047619,0.03142857142857143,1,0,0,targImage,1.9024891427834518,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.2222,-0.125,v,,,,,0,21,21,5,,,,,150.9135430379829,None,150.9135430379829,None,150.9135430379829,None,150.9135430379829,None,152.13095348799834,None,None,0,152.13095348799834,None,-0.06761904761904762,-0.011428571428571429,1,0,0,targImage,1.2374575228313915,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.3332,-0.125,v,,,,,0,22,22,25,,,,,152.6470486659964,None,152.6470486659964,None,152.6470486659964,None,152.6470486659964,None,154.96394638100173,None,None,0,154.96394638100173,None,-0.0980952380952381,-0.006666666666666667,1,0,0,targImage,2.3366665348003153,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.7776,-0.125,v,,,,,0,23,23,33,,,,,155.3466456969909,None,155.3466456969909,None,155.3466456969909,None,155.3466456969909,None,158.11370151099982,None,None,0,158.11370151099982,None,-0.04476190476190476,0.0009523809523809524,1,0,0,targImage,2.7867649348045234,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.111,0.375,n,,,,,0,24,24,23,,,,,158.66329344399855,None,158.66329344399855,None,158.66329344399855,None,158.66329344399855,None,160.7637622229813,None,None,0,160.7637622229813,None,0.3295238095238095,0.0419047619047619,1,0,0,targImage,2.12052554480033,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.8888,0.125,b,,,,,0,25,25,18,,,,,161.46402126699104,None,161.46402126699104,None,161.46402126699104,None,161.46402126699104,None,163.33050531498156,None,None,0,163.33050531498156,None,0.05523809523809524,0.010476190476190476,1,0,0,targImage,1.8891252297908068,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.9998,-0.375,c,,,,,0,26,26,36,,,,,163.76380258298013,None,163.76380258298013,None,163.76380258298013,None,163.76380258298013,None,166.74686484999256,None,None,0,166.74686484999256,None,-0.4104761904761905,-0.02,1,0,0,targImage,3.004507390811341,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.9998,-0.125,v,,,,,0,27,27,37,,,,,167.6793988159916,None,167.6793988159916,None,167.6793988159916,None,167.6793988159916,None,170.66416069099796,None,None,0,170.66416069099796,None,-0.07714285714285714,0.009523809523809525,1,0,0,targImage,3.004099765821593,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.111,0.125,b,,,,,0,28,28,22,,,,,171.1967500979954,None,171.1967500979954,None,171.1967500979954,None,171.1967500979954,None,173.33044941700064,None,None,0,173.33044941700064,None,0.025714285714285714,0.03238095238095238,1,0,0,targImage,2.121164479816798,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
